fondo,morningstar_rating (max 5),volatilità 5anni %,Sharpe Ratio 5anni,obbligazioni,azioni,monetario,description,
PostFinance Fonds 3,4,3.79,,0.67,0.31,0.02,scala mondiale in strumenti del mercato monetario obbligazioni e azioni. In media la quota azionaria è del 30% e quella in moneta estera è in media del 15%
PostFinance Fonds 4,4,6.0,,0.51,0.47,0.02,su scala mondiale in strumenti del mercato monetario obbligazioni e azioni. In media la quota azionaria è del 50% e quella in moneta estera è in media del 30%
PostFinance Fonds 5,4,8.99,0.71,0.765,0.214,0.021,scala mondiale in strumenti del mercato monetario obbligazioni e azioni. In media la quota azionaria è del 75% e quella in moneta estera è in media del 45%
